,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Venue Rating,Venue Likes
0,Arts & Entertainment District,25.799,-80.19,Amor Di Pasta,25.7993632,-80.191042,Italian Restaurant,5c09c13bde3bbf002c2e8806,0.0,4
1,Arts & Entertainment District,25.799,-80.19,L&R grocery,25.800552,-80.188947,Argentinian Restaurant,4b8aa32ef964a520b37632e3,0.0,1
2,Arts & Entertainment District,25.799,-80.19,Green G Juice Bar,25.8004806,-80.19060277,Juice Bar,567adb8c498e18a77d6d19b6,7.3,11
3,Arts & Entertainment District,25.799,-80.19,Fuchai Chinese & Korean Kitchen,25.801035,-80.191009,Chinese Restaurant,58af589da8b75911ad973423,0.0,6
4,Arts & Entertainment District,25.799,-80.19,Latin Cafe Biscayne,25.798389999999998,-80.188837,Latin American Restaurant,5bd471bf1fa763002c619bdb,0.0,3
5,Arts & Entertainment District,25.799,-80.19,Mulberry1965 Pizza Truck,25.798632892030398,-80.18574381686584,Food Truck,515dbe63e4b069f93d14887a,0.0,1
6,Arts & Entertainment District,25.799,-80.19,Rice Mediterranean Kitchen,25.801219,-80.189088,Mediterranean Restaurant,5bf8a77a029a55002ca1dca4,0.0,1
7,Arts & Entertainment District,25.799,-80.19,Mister O1 Extraordinary Pizza,25.79912915298071,-80.1947907149655,Pizza Place,59dbb0eb61f0707c022f5adc,8.8,32
8,Arts & Entertainment District,25.799,-80.19,Nostimo Greek Kitchen,25.79977,-80.191634,Greek Restaurant,5dfaad636e76d500088e51db,0.0,1
9,Arts & Entertainment District,25.799,-80.19,cevishiro,25.800552,-80.188947,Restaurant,562a815f498e4a8a9da6cca3,0.0,3
10,Arts & Entertainment District,25.799,-80.19,Shelter,25.802489,-80.194446,Restaurant,60776e4c4770424271a76f14,0.0,0
11,Arts & Entertainment District,25.799,-80.19,Lebanon Mediterranean,25.802824,-80.19164,Food Truck,6099fed475715600b7ef1708,0.0,0
12,Arts & Entertainment District,25.799,-80.19,Devia Juice Bar,25.80181884765625,-80.1912841796875,Juice Bar,5e0b7c4bc1fc4d00088edf48,0.0,0
13,Arts & Entertainment District,25.799,-80.19,Piacere Pizza,25.802586,-80.1917,Pizza Place,6045a9248d081e11da29ee6c,0.0,0
14,Arts & Entertainment District,25.799,-80.19,Zona Grill,25.803787511866712,-80.19177554081736,Food Truck,54304f90498ed6ec05388886,8.6,15
15,Arts & Entertainment District,25.799,-80.19,305 Degrees Burgers Bar,25.799803,-80.19508,Burger Joint,6010ded624a9cc7dcd96fd87,0.0,0
16,Arts & Entertainment District,25.799,-80.19,Mr Ceviche,25.795615,-80.188697,Peruvian Restaurant,600b4d2a912d4364bca97ac9,0.0,0
17,Arts & Entertainment District,25.799,-80.19,Tacomiendo,25.80174834,-80.19133172,Taco Place,5c4b8d57135b39002c2532f6,0.0,3
18,Arts & Entertainment District,25.799,-80.19,Nomade,25.801792,-80.191051,Food Truck,590f65c6a35dce1a17cb7b05,0.0,5
19,Arts & Entertainment District,25.799,-80.19,Em Oi,25.801834,-80.191506,Food Truck,5f405572e5287a421f296420,0.0,0
20,Arts & Entertainment District,25.799,-80.19,Ono Poke Shop,25.79967635834661,-80.19510945461863,Poke Place,583dcc6a3cccc646c2da65ee,7.6,13
21,Arts & Entertainment District,25.799,-80.19,Pizza Pazza,25.79413000426297,-80.18896280017438,Pizza Place,52a3de9e498e1cb2de68e6bd,8.7,33
22,Arts & Entertainment District,25.799,-80.19,All About Crab,25.802692413330078,-80.18878936767578,Seafood Restaurant,5defdd31821c2b0007fa618b,0.0,0
23,Arts & Entertainment District,25.799,-80.19,MR BABA,25.8020964,-80.1913814,Mediterranean Restaurant,5c3504089be522002cad3922,0.0,0
24,Arts & Entertainment District,25.799,-80.19,Doma,25.801893,-80.19416,Restaurant,5c000e0a916bc1002cbf21f9,8.3,13
25,Arts & Entertainment District,25.799,-80.19,Mario the Baker,25.800811646972427,-80.18912799313951,Pizza Place,4b5b970bf964a5204d0929e3,6.4,2
26,Arts & Entertainment District,25.799,-80.19,004 The Sandwich Connec,25.800276,-80.19525,Sandwich Place,579cdfb8cd106b2f7a840068,0.0,1
27,Arts & Entertainment District,25.799,-80.19,Combinasian,25.799618,-80.195264,Vegetarian / Vegan Restaurant,5b5e8418791871003970285c,0.0,0
28,Arts & Entertainment District,25.799,-80.19,Price Choice Foodmarket,25.79435624710723,-80.19037301946621,Grocery Store,4b78778df964a5204cd02ee3,7.3,96
29,Arts & Entertainment District,25.799,-80.19,Rincon Escondido Cafe,25.80271929903814,-80.18910153856167,Tapas Restaurant,4db88cc65da3b5fa68c24f85,8.0,18
30,Arts & Entertainment District,25.799,-80.19,Mr And Mrs Juicy,25.794921,-80.186692,Food Truck,4ec7f33c775bf65c04020694,0.0,0
31,Arts & Entertainment District,25.799,-80.19,Montaco,25.799291,-80.191392,Food Truck,4cf8698295153704d1635c89,0.0,0
32,Arts & Entertainment District,25.799,-80.19,The Daily Creative Food Co. - Miami,25.7956958,-80.1886835,Sandwich Place,4af1ca0cf964a52033e321e3,8.8,308
33,Arts & Entertainment District,25.799,-80.19,NOA Catering,25.803113975926667,-80.19094247209493,Restaurant,4bd2f89db221c9b6948ad8d0,8.6,37
34,Arts & Entertainment District,25.799,-80.19,Plant Food + Wine Miami,25.80045189451432,-80.19280529311052,Restaurant,56cc756acd108dd0335eeccb,8.8,76
35,Edgewater,25.802,-80.19,Rice Mediterranean Kitchen,25.801219,-80.189088,Mediterranean Restaurant,5bf8a77a029a55002ca1dca4,0.0,1
36,Edgewater,25.802,-80.19,L&R grocery,25.800552,-80.188947,Argentinian Restaurant,4b8aa32ef964a520b37632e3,0.0,1
37,Edgewater,25.802,-80.19,Made In Italy,25.803894267189428,-80.19090377328469,Food Truck,5fd6cc1b008955333f59a80f,0.0,0
38,Edgewater,25.802,-80.19,Tacomiendo,25.80174834,-80.19133172,Taco Place,5c4b8d57135b39002c2532f6,0.0,3
39,Edgewater,25.802,-80.19,Devia Juice Bar,25.80181884765625,-80.1912841796875,Juice Bar,5e0b7c4bc1fc4d00088edf48,0.0,0
40,Edgewater,25.802,-80.19,Rincon Escondido Cafe,25.80271929903814,-80.18910153856167,Tapas Restaurant,4db88cc65da3b5fa68c24f85,8.0,18
41,Edgewater,25.802,-80.19,Fuchai Chinese & Korean Kitchen,25.801035,-80.191009,Chinese Restaurant,58af589da8b75911ad973423,0.0,6
42,Edgewater,25.802,-80.19,Piacere Pizza,25.802586,-80.1917,Pizza Place,6045a9248d081e11da29ee6c,0.0,0
43,Edgewater,25.802,-80.19,Lebanon Mediterranean,25.802824,-80.19164,Food Truck,6099fed475715600b7ef1708,0.0,0
44,Edgewater,25.802,-80.19,Salsa Fiesta Grill,25.804980023465703,-80.18917326741968,Mexican Restaurant,4b01fad4f964a520f24622e3,8.2,140
45,Edgewater,25.802,-80.19,Nomade,25.801792,-80.191051,Food Truck,590f65c6a35dce1a17cb7b05,0.0,5
46,Edgewater,25.802,-80.19,NOA Catering,25.803113975926667,-80.19094247209493,Restaurant,4bd2f89db221c9b6948ad8d0,8.6,37
47,Edgewater,25.802,-80.19,Green G Juice Bar,25.8004806,-80.19060277,Juice Bar,567adb8c498e18a77d6d19b6,7.3,11
48,Edgewater,25.802,-80.19,Mario the Baker,25.800811646972427,-80.18912799313951,Pizza Place,4b5b970bf964a5204d0929e3,6.4,2
49,Edgewater,25.802,-80.19,Em Oi,25.801834,-80.191506,Food Truck,5f405572e5287a421f296420,0.0,0
50,Edgewater,25.802,-80.19,Totem,25.802742,-80.195393,Latin American Restaurant,5fca9c302c63f21046cf9345,0.0,0
51,Edgewater,25.802,-80.19,Grails Sports Bar,25.803154,-80.195226,Sports Bar,5d7ea853b4fc9c00085f34f3,0.0,2
52,Edgewater,25.802,-80.19,Nostimo Greek Kitchen,25.79977,-80.191634,Greek Restaurant,5dfaad636e76d500088e51db,0.0,1
53,Edgewater,25.802,-80.19,Mama Caruso's Pizzeria & Italian Food,25.804623,-80.190858,Italian Restaurant,51b0b7c7498e33bf0f4af076,0.0,3
54,Edgewater,25.802,-80.19,Love ‘N Gyros,25.803389,-80.195141,Greek Restaurant,5c1ea681835c9a002c980040,0.0,1
55,Edgewater,25.802,-80.19,cevishiro,25.800552,-80.188947,Restaurant,562a815f498e4a8a9da6cca3,0.0,3
56,Edgewater,25.802,-80.19,Shelter,25.802489,-80.194446,Restaurant,60776e4c4770424271a76f14,0.0,0
57,Edgewater,25.802,-80.19,Zona Grill,25.803787511866712,-80.19177554081736,Food Truck,54304f90498ed6ec05388886,8.6,15
58,Edgewater,25.802,-80.19,Leal Bistro,25.802717208862305,-80.19558715820312,Restaurant,5cde23bf123a1900394324fa,0.0,2
59,Edgewater,25.802,-80.19,Hiyakawa,25.80265856254099,-80.1952412724495,Sushi Restaurant,5f98578d7fe3fd7df71f80ad,0.0,0
60,Edgewater,25.802,-80.19,Mr Pepito Miami,25.803953463715526,-80.19068038142092,Food Truck,57cb1e57498e98eeeb295abf,0.0,4
61,Edgewater,25.802,-80.19,Latin Cafe Biscayne,25.798389999999998,-80.188837,Latin American Restaurant,5bd471bf1fa763002c619bdb,0.0,3
62,Edgewater,25.802,-80.19,Clive's Jamaican Restaurant,25.803464682697104,-80.1952220149367,Caribbean Restaurant,4ae3549af964a5208a9321e3,7.8,15
63,Edgewater,25.802,-80.19,Amor Di Pasta,25.7993632,-80.191042,Italian Restaurant,5c09c13bde3bbf002c2e8806,0.0,4
64,Edgewater,25.802,-80.19,All About Crab,25.802692413330078,-80.18878936767578,Seafood Restaurant,5defdd31821c2b0007fa618b,0.0,0
65,Edgewater,25.802,-80.19,El Otro Tiesto Cafe,25.805953,-80.189297,Japanese Restaurant,5ac6d2d008815810bf70b8d6,0.0,1
